"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Archer","16"
1,"Alachua","Florida","Micanopy","7"
1,"Alachua","Florida","High Springs","27"
1,"Alachua","Florida","Earleton","1"
1,"Alachua","Florida","Hawthorne","13"
1,"Alachua","Florida","Newberry","51"
1,"Alachua","Florida","Santa Fe","5"
1,"Alachua","Florida","Gainesville","1189"
1,"Alachua","Florida","Alachua","68"
1,"Alachua","Florida","Jasper","1"
1,"Alachua","Florida","Tioga","4"
1,"Alachua","Florida","Waldo","7"
1,"Alachua","Florida","La Crosse","2"
2,"Baker","Florida","Sanderson","13"
2,"Baker","Florida","Macclenny","58"
2,"Baker","Florida","Glen Saint Mary","10"
3,"Bay","Florida","Panama City Beach","102"
3,"Bay","Florida","Panama City","393"
3,"Bay","Florida","Fountain","5"
3,"Bay","Florida","Parker","1"
3,"Bay","Florida","Tyndall Air Force Base","3"
3,"Bay","Florida","Youngstown","11"
3,"Bay","Florida","Lynn Haven","52"
3,"Bay","Florida","Bayou George","1"
3,"Bay","Florida","Inlet Beach","1"
3,"Bay","Florida","Callaway","7"
3,"Bay","Florida","Southport","9"
4,"Bradford","Florida","Lawtey","14"
4,"Bradford","Florida","Hampton","3"
4,"Bradford","Florida","Starke","67"
4,"Bradford","Florida","Lake Butler","1"
4,"Bradford","Florida","Brooker","3"
5,"Brevard","Florida","Cocoa Beach","70"
5,"Brevard","Florida","Indian Harbour Beach","18"
5,"Brevard","Florida","Palm Shores","1"
5,"Brevard","Florida","Viera","19"
5,"Brevard","Florida","Mims","30"
5,"Brevard","Florida","Satellite Beach","69"
5,"Brevard","Florida","Titusville","143"
5,"Brevard","Florida","Scottsmoor","1"
5,"Brevard","Florida","Cape Canaveral","39"
5,"Brevard","Florida","Valkaria","1"
5,"Brevard","Florida","West Melbourne","45"
5,"Brevard","Florida","Port Saint John","2"
5,"Brevard","Florida","Barefoot Bay","7"
5,"Brevard","Florida","Merritt Island","162"
5,"Brevard","Florida","Melbourne Beach","21"
5,"Brevard","Florida","Cocoa","313"
5,"Brevard","Florida","Malabar","15"
5,"Brevard","Florida","Grant-Valkaria","9"
5,"Brevard","Florida","Sharpes","1"
5,"Brevard","Florida","Fellsmele","1"
5,"Brevard","Florida","Rockledge","135"
5,"Brevard","Florida","Indialantic","40"
5,"Brevard","Florida","Patrick Air Force Base","8"
5,"Brevard","Florida","Sebastian","5"
5,"Brevard","Florida","Melbourne","665"
5,"Brevard","Florida","Palm Bay","467"
6,"Broward","Florida","Lauderhill","145"
6,"Broward","Florida","Davie","567"
6,"Broward","Florida","Tamarac","393"
6,"Broward","Florida","Oakland Park","279"
6,"Broward","Florida","Deerfield Beach","517"
6,"Broward","Florida","Hallandale Beach","17"
6,"Broward","Florida","Weston","297"
6,"Broward","Florida","At Large","2"
6,"Broward","Florida","Hillsboro Beach","1"
6,"Broward","Florida","Pompano Beach","2061"
6,"Broward","Florida","Sunrise","600"
6,"Broward","Florida","Southwest Ranches","26"
6,"Broward","Florida","Coconut Creek","321"
6,"Broward","Florida","Miramar","1269"
6,"Broward","Florida","Pembroke Park","2"
6,"Broward","Florida","City Of Sunrise","2"
6,"Broward","Florida","Margate","408"
6,"Broward","Florida","Cooper City","126"
6,"Broward","Florida","Parkland","87"
6,"Broward","Florida","Lighthouse Point","7"
6,"Broward","Florida","Lauderdale Lakes","115"
6,"Broward","Florida","Wilton Manors","147"
6,"Broward","Florida","Pembroke Pines","319"
6,"Broward","Florida","Alpharetta","1"
6,"Broward","Florida","Pooler","1"
6,"Broward","Florida","Laud-By-The-Sea","1"
6,"Broward","Florida","Coral Springs","732"
