"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Tioga","4"
1,"Alachua","Florida","Micanopy","5"
1,"Alachua","Florida","Waldo","7"
1,"Alachua","Florida","Archer","9"
1,"Alachua","Florida","Santa Fe","2"
1,"Alachua","Florida","Newberry","35"
1,"Alachua","Florida","Gainesville","711"
1,"Alachua","Florida","High Springs","19"
1,"Alachua","Florida","Hawthorne","9"
1,"Alachua","Florida","Alachua","34"
1,"Alachua","Florida","La Crosse","1"
2,"Baker","Florida","Macclenny","28"
2,"Baker","Florida","Glen Saint Mary","5"
2,"Baker","Florida","Sanderson","8"
3,"Bay","Florida","Parker","1"
3,"Bay","Florida","Panama City Beach","31"
3,"Bay","Florida","Callaway","3"
3,"Bay","Florida","Youngstown","5"
3,"Bay","Florida","Tyndall Air Force Base","1"
3,"Bay","Florida","Lynn Haven","24"
3,"Bay","Florida","Panama City","163"
3,"Bay","Florida","Fountain","2"
3,"Bay","Florida","Southport","4"
4,"Bradford","Florida","Starke","56"
4,"Bradford","Florida","Lawtey","11"
4,"Bradford","Florida","Hampton","1"
4,"Bradford","Florida","Brooker","2"
4,"Bradford","Florida","Lake Butler","1"
5,"Brevard","Florida","Melbourne","325"
5,"Brevard","Florida","Valkaria","1"
5,"Brevard","Florida","Mims","15"
5,"Brevard","Florida","Malabar","5"
5,"Brevard","Florida","West Melbourne","14"
5,"Brevard","Florida","Indialantic","14"
5,"Brevard","Florida","Satellite Beach","35"
5,"Brevard","Florida","Rockledge","65"
5,"Brevard","Florida","Sebastian","3"
5,"Brevard","Florida","Palm Bay","199"
5,"Brevard","Florida","Grant-Valkaria","5"
5,"Brevard","Florida","Titusville","76"
5,"Brevard","Florida","Indian Harbour Beach","9"
5,"Brevard","Florida","Merritt Island","60"
5,"Brevard","Florida","Cape Canaveral","13"
5,"Brevard","Florida","Barefoot Bay","3"
5,"Brevard","Florida","Viera","15"
5,"Brevard","Florida","Port Saint John","1"
5,"Brevard","Florida","Patrick Air Force Base","3"
5,"Brevard","Florida","Cocoa Beach","30"
5,"Brevard","Florida","Melbourne Beach","6"
5,"Brevard","Florida","Cocoa","199"
5,"Brevard","Florida","Scottsmoor","1"
6,"Broward","Florida","Margate","302"
6,"Broward","Florida","West Park","9"
6,"Broward","Florida","Coral Springs","513"
6,"Broward","Florida","North Lauderdale","254"
6,"Broward","Florida","Hillsboro Beach","1"
6,"Broward","Florida","Hallandale Beach","15"
6,"Broward","Florida","Pompano Beach","1404"
6,"Broward","Florida","Dania","77"
6,"Broward","Florida","Tamarac","270"
6,"Broward","Florida","Port Everglades","1"
6,"Broward","Florida","City Of Sunrise","2"
6,"Broward","Florida","Lauderhill","131"
6,"Broward","Florida","Sunrise","406"
6,"Broward","Florida","Pooler","1"
6,"Broward","Florida","Laud-By-The-Sea","1"
6,"Broward","Florida","Dania Beach","4"
6,"Broward","Florida","Wilton Manors","129"
6,"Broward","Florida","Parkland","60"
6,"Broward","Florida","Lauderdale By The Sea","4"
6,"Broward","Florida","Pembroke Pines","243"
6,"Broward","Florida","Davie","351"
6,"Broward","Florida","Deerfield Beach","355"
6,"Broward","Florida","Lighthouse Point","7"
6,"Broward","Florida","Hallandale","208"
6,"Broward","Florida","Southwest Ranches","20"
6,"Broward","Florida","Miramar","857"
6,"Broward","Florida","Oakland Park","192"
6,"Broward","Florida","Alpharetta","1"
6,"Broward","Florida","Weston","211"
6,"Broward","Florida","Plantation","293"
6,"Broward","Florida","Hollywood","2500"
6,"Broward","Florida","Coconut Creek","202"
6,"Broward","Florida","Lauderdale Lakes","101"
6,"Broward","Florida","Pembroke Park","2"
6,"Broward","Florida","Cooper City","81"
6,"Broward","Florida","Fort Lauderdale","2702"
7,"Calhoun","Florida","Altha","5"
7,"Calhoun","Florida","Blountstown","63"
8,"Charlotte","Florida","Punta Gorda","212"
8,"Charlotte","Florida","Cape Haze","1"
8,"Charlotte","Florida","Rotunda West","19"
8,"Charlotte","Florida","Englewood","19"
8,"Charlotte","Florida","Placida","5"
8,"Charlotte","Florida","Port Charlotte","364"
9,"Citrus","Florida","Inverness","75"
9,"Citrus","Florida","Beverly Hills","14"
9,"Citrus","Florida","Floral City","6"
9,"Citrus","Florida","Hernando","12"
9,"Citrus","Florida","Lecanto","20"
9,"Citrus","Florida","Crystal River","36"
9,"Citrus","Florida","Dunnellon","9"
9,"Citrus","Florida","Citrus Springs","15"
9,"Citrus","Florida","Homosassa","22"
10,"Clay","Florida","Orange Park","235"
10,"Clay","Florida","Fleming Island","58"
10,"Clay","Florida","Middleburg","98"
10,"Clay","Florida","Green Cove Springs","127"
10,"Clay","Florida","Penney Farms","1"
10,"Clay","Florida","Keystone Heights","14"
11,"Collier","Florida","Ochopee","2"
11,"Collier","Florida","Immokalee","1372"
11,"Collier","Florida","Marco Island","25"
11,"Collier","Florida","Apo","1"
11,"Collier","Florida","Ave Maria","36"
11,"Collier","Florida","Everglades City","1"
11,"Collier","Florida","Estero","1"
11,"Collier","Florida","Goodland","2"
11,"Collier","Florida","Naples","1862"
12,"Columbia","Florida","Lake City","227"
12,"Columbia","Florida","Fort White","16"
13,"Dade","Florida","Miami","16925"
13,"Dade","Florida","Medley","15"
13,"Dade","Florida","Quail Heights","1"
13,"Dade","Florida","Hialeah","3832"
13,"Dade","Florida","North Miami Beach","456"
13,"Dade","Florida","Miami Beach","1069"
13,"Dade","Florida","Naranja","6"
13,"Dade","Florida","Perrine","1"
13,"Dade","Florida","Florida City","429"
13,"Dade","Florida","Homestead","1946"
13,"Dade","Florida","Key Biscayne","88"
13,"Dade","Florida","Pinecrest","88"
13,"Dade","Florida","Miami Springs","12"
13,"Dade","Florida","Cutler Bay","19"
13,"Dade","Florida","Doral","365"
13,"Dade","Florida","Virginia Gardens","1"
13,"Dade","Florida","West Miami","16"
13,"Dade","Florida","Tcllywsoo","1"
13,"Dade","Florida","Goulds","4"
13,"Dade","Florida","Surfside","12"
13,"Dade","Florida","Golden Beach","5"
13,"Dade","Florida","Sweetwater","5"
13,"Dade","Florida","Opa Locka","568"
13,"Dade","Florida","Kendall","12"
13,"Dade","Florida","Bal Harbour","17"
13,"Dade","Florida","Bay Harbor Islands","6"
13,"Dade","Florida","Miami Shores","7"
13,"Dade","Florida","Cutler Ridge","1"
13,"Dade","Florida","Miami Gardens","695"
13,"Dade","Florida","South Miami","265"
13,"Dade","Florida","Princeton","3"
13,"Dade","Florida","Village Of Palmetto Bay","3"
13,"Dade","Florida","Miami Lakes","99"
13,"Dade","Florida","Biscayne Park","15"
13,"Dade","Florida","North Miami","441"
13,"Dade","Florida","Palmetto Bay","45"
13,"Dade","Florida","Fisher Island","2"
13,"Dade","Florida","Aventura","222"
13,"Dade","Florida","Coral Gables","216"
13,"Dade","Florida","Sunny Isles Beach","11"
13,"Dade","Florida","Everglades National Park","1"
13,"Dade","Florida","Hialeah Gardens","14"
13,"Dade","Florida","Carol City","26"
13,"Dade","Florida","El Portal","20"
13,"Dade","Florida","North Bay Village","14"
13,"Dade","Florida","Coconut Grove","15"
13,"Dade","Florida","Fl","1"
14,"Desoto","Florida","Lake Suzy","7"
