"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Santa Fe","1"
1,"Alachua","Florida","Archer","4"
1,"Alachua","Florida","Tioga","4"
1,"Alachua","Florida","Gainesville","483"
1,"Alachua","Florida","Micanopy","4"
1,"Alachua","Florida","Waldo","5"
1,"Alachua","Florida","La Crosse","1"
1,"Alachua","Florida","Newberry","24"
1,"Alachua","Florida","Alachua","26"
1,"Alachua","Florida","Hawthorne","8"
1,"Alachua","Florida","High Springs","13"
2,"Baker","Florida","Glen Saint Mary","4"
2,"Baker","Florida","Macclenny","25"
2,"Baker","Florida","Sanderson","6"
3,"Bay","Florida","Panama City","103"
3,"Bay","Florida","Fountain","2"
3,"Bay","Florida","Youngstown","4"
3,"Bay","Florida","Tyndall Air Force Base","1"
3,"Bay","Florida","Lynn Haven","17"
3,"Bay","Florida","Panama City Beach","25"
3,"Bay","Florida","Callaway","3"
3,"Bay","Florida","Southport","3"
3,"Bay","Florida","Parker","1"
4,"Bradford","Florida","Lawtey","2"
4,"Bradford","Florida","Hampton","1"
4,"Bradford","Florida","Brooker","2"
4,"Bradford","Florida","Starke","50"
4,"Bradford","Florida","Lake Butler","1"
5,"Brevard","Florida","Sebastian","2"
5,"Brevard","Florida","Cocoa","146"
5,"Brevard","Florida","Valkaria","1"
5,"Brevard","Florida","Grant-Valkaria","4"
5,"Brevard","Florida","Malabar","2"
5,"Brevard","Florida","Titusville","48"
5,"Brevard","Florida","Cape Canaveral","6"
5,"Brevard","Florida","Barefoot Bay","3"
5,"Brevard","Florida","Indian Harbour Beach","7"
5,"Brevard","Florida","Viera","15"
5,"Brevard","Florida","Satellite Beach","21"
5,"Brevard","Florida","Mims","8"
5,"Brevard","Florida","Indialantic","5"
5,"Brevard","Florida","Melbourne","181"
5,"Brevard","Florida","West Melbourne","7"
5,"Brevard","Florida","Melbourne Beach","4"
5,"Brevard","Florida","Port Saint John","1"
5,"Brevard","Florida","Rockledge","39"
5,"Brevard","Florida","Palm Bay","107"
5,"Brevard","Florida","Merritt Island","34"
5,"Brevard","Florida","Cocoa Beach","18"
6,"Broward","Florida","Plantation","220"
6,"Broward","Florida","Wilton Manors","127"
6,"Broward","Florida","Hollywood","2,042"
6,"Broward","Florida","Miramar","665"
6,"Broward","Florida","Sunrise","318"
6,"Broward","Florida","Pompano Beach","1,143"
6,"Broward","Florida","Tamarac","217"
6,"Broward","Florida","Pembroke Park","2"
6,"Broward","Florida","Hillsboro Beach","1"
6,"Broward","Florida","Coral Springs","429"
6,"Broward","Florida","Weston","178"
6,"Broward","Florida","Port Everglades","1"
6,"Broward","Florida","Oakland Park","148"
6,"Broward","Florida","Lauderdale By The Sea","3"
6,"Broward","Florida","Hallandale Beach","12"
6,"Broward","Florida","Parkland","48"
6,"Broward","Florida","Pembroke Pines","200"
6,"Broward","Florida","Lauderhill","117"
6,"Broward","Florida","Lauderdale Lakes","88"
6,"Broward","Florida","Dania","55"
6,"Broward","Florida","Lighthouse Point","6"
6,"Broward","Florida","Deerfield Beach","286"
6,"Broward","Florida","Pooler","1"
6,"Broward","Florida","Hallandale","159"
6,"Broward","Florida","City Of Sunrise","1"
6,"Broward","Florida","Fort Lauderdale","2,192"
6,"Broward","Florida","Alpharetta","1"
6,"Broward","Florida","Cooper City","64"
6,"Broward","Florida","West Park","9"
6,"Broward","Florida","Laud-By-The-Sea","1"
6,"Broward","Florida","Margate","268"
6,"Broward","Florida","Davie","277"
6,"Broward","Florida","North Lauderdale","208"
6,"Broward","Florida","Southwest Ranches","12"
6,"Broward","Florida","Coconut Creek","157"
6,"Broward","Florida","Dania Beach","1"
7,"Calhoun","Florida","Altha","5"
7,"Calhoun","Florida","Blountstown","60"
8,"Charlotte","Florida","Placida","5"
8,"Charlotte","Florida","Port Charlotte","338"
8,"Charlotte","Florida","Englewood","13"
8,"Charlotte","Florida","Punta Gorda","177"
8,"Charlotte","Florida","Rotunda West","16"
9,"Citrus","Florida","Lecanto","13"
9,"Citrus","Florida","Crystal River","26"
9,"Citrus","Florida","Homosassa","12"
9,"Citrus","Florida","Hernando","9"
9,"Citrus","Florida","Floral City","4"
9,"Citrus","Florida","Beverly Hills","11"
9,"Citrus","Florida","Citrus Springs","14"
9,"Citrus","Florida","Inverness","61"
9,"Citrus","Florida","Dunnellon","6"
10,"Clay","Florida","Fleming Island","41"
10,"Clay","Florida","Orange Park","204"
10,"Clay","Florida","Green Cove Springs","117"
10,"Clay","Florida","Keystone Heights","10"
10,"Clay","Florida","Middleburg","77"
11,"Collier","Florida","Immokalee","1,207"
11,"Collier","Florida","Naples","1,468"
11,"Collier","Florida","Ochopee","2"
11,"Collier","Florida","Ave Maria","29"
11,"Collier","Florida","Marco Island","22"
11,"Collier","Florida","Goodland","1"
11,"Collier","Florida","Estero","1"
12,"Columbia","Florida","Lake City","187"
12,"Columbia","Florida","Fort White","14"
13,"Dade","Florida","Miami","14,080"
13,"Dade","Florida","Hialeah","3,149"
13,"Dade","Florida","Florida City","381"
13,"Dade","Florida","Bal Harbour","15"
13,"Dade","Florida","Fisher Island","2"
13,"Dade","Florida","West Miami","15"
13,"Dade","Florida","Coral Gables","181"
13,"Dade","Florida","Biscayne Park","13"
13,"Dade","Florida","Homestead","1,518"
13,"Dade","Florida","South Miami","231"
13,"Dade","Florida","Bay Harbor Islands","6"
13,"Dade","Florida","Tcllywsoo","1"
13,"Dade","Florida","Sweetwater","4"
13,"Dade","Florida","Perrine","1"
13,"Dade","Florida","Key Biscayne","79"
13,"Dade","Florida","Pinecrest","48"
13,"Dade","Florida","Miami Beach","1,005"
13,"Dade","Florida","Princeton","3"
13,"Dade","Florida","Sunny Isles Beach","9"
13,"Dade","Florida","Miami Springs","12"
13,"Dade","Florida","Aventura","202"
13,"Dade","Florida","Miami Lakes","83"
13,"Dade","Florida","Carol City","17"
13,"Dade","Florida","Medley","13"
13,"Dade","Florida","Doral","303"
13,"Dade","Florida","Palmetto Bay","38"
13,"Dade","Florida","Goulds","2"
13,"Dade","Florida","North Miami","395"
13,"Dade","Florida","North Miami Beach","390"
13,"Dade","Florida","El Portal","17"
13,"Dade","Florida","Cutler Bay","17"
13,"Dade","Florida","Miami Gardens","528"
13,"Dade","Florida","Golden Beach","4"
13,"Dade","Florida","Naranja","3"
13,"Dade","Florida","Opa Locka","468"
13,"Dade","Florida","North Bay Village","14"
13,"Dade","Florida","Kendall","10"
13,"Dade","Florida","Village Of Palmetto Bay","3"
13,"Dade","Florida","Surfside","10"
13,"Dade","Florida","Coconut Grove","10"
13,"Dade","Florida","Virginia Gardens","1"
13,"Dade","Florida","Miami Shores","7"
13,"Dade","Florida","Hialeah Gardens","14"
14,"Desoto","Florida","Nocatee","3"
14,"Desoto","Florida","Lake Suzy","7"
14,"Desoto","Florida","Arcadia","376"
15,"Dixie","Florida","Steinhatchee","1"
15,"Dixie","Florida","Old Town","35"
15,"Dixie","Florida","Cross City","23"
16,"Duval","Florida","Baldwin","1"
16,"Duval","Florida","Neptune Beach","15"
16,"Duval","Florida","Jupiter","1"
16,"Duval","Florida","Jacksonville Beach","76"
16,"Duval","Florida","Jacksonville","2,094"
16,"Duval","Florida","Fpo","2"
16,"Duval","Florida","Mayport","1"
16,"Duval","Florida","Atlantic Beach","20"
17,"Escambia","Florida","Gulf Breeze","1"
17,"Escambia","Florida","Mcdavid","2"
17,"Escambia","Florida","Pensacola","758"
17,"Escambia","Florida","Century","5"
17,"Escambia","Florida","Molino","16"
17,"Escambia","Florida","Alva","1"
17,"Escambia","Florida","Perdido Key","1"
17,"Escambia","Florida","Pensacola Beach","1"
17,"Escambia","Florida","Cantonment","62"
17,"Escambia","Florida","Bellview","6"
17,"Escambia","Florida","Walnut Hill","1"
18,"Flagler","Florida","Bunnell","21"
18,"Flagler","Florida","Flagler Beach","14"
18,"Flagler","Florida","Palm Coast","173"
19,"Franklin","Florida","Eastpoint","1"
20,"Gadsden","Florida","Gretna","16"
20,"Gadsden","Florida","Havana","25"
20,"Gadsden","Florida","Quincy","227"
20,"Gadsden","Florida","Greensboro","4"
20,"Gadsden","Florida","Midway","19"
20,"Gadsden","Florida","Chattahoochee","19"
21,"Gilchrist","Florida","Bell","12"
21,"Gilchrist","Florida","Trenton","58"
