"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Hawthorne","25"
1,"Alachua","Florida","Santa Fe","7"
1,"Alachua","Florida","High Springs","42"
1,"Alachua","Florida","Micanopy","14"
1,"Alachua","Florida","Waldo","9"
1,"Alachua","Florida","Wesley Chapel","1"
1,"Alachua","Florida","La Crosse","5"
1,"Alachua","Florida","Alachua","131"
1,"Alachua","Florida","Tioga","6"
1,"Alachua","Florida","Newberry","89"
1,"Alachua","Florida","Archer","42"
1,"Alachua","Florida","Gainesville","1905"
1,"Alachua","Florida","Earleton","2"
2,"Baker","Florida","Macclenny","123"
2,"Baker","Florida","Olustee","1"
2,"Baker","Florida","Glen Saint Mary","25"
2,"Baker","Florida","Sanderson","23"
3,"Bay","Florida","Seacrest","1"
3,"Bay","Florida","Tyndall Air Force Base","4"
3,"Bay","Florida","Mexico Beach","2"
3,"Bay","Florida","Panama City Beach","219"
3,"Bay","Florida","Southport","28"
3,"Bay","Florida","Youngstown","20"
3,"Bay","Florida","Fountain","11"
3,"Bay","Florida","Bayou George","1"
3,"Bay","Florida","Inlet Beach","2"
3,"Bay","Florida","Panama City","1008"
3,"Bay","Florida","Parker","1"
3,"Bay","Florida","Lynn Haven","159"
3,"Bay","Florida","Watersound","1"
3,"Bay","Florida","Callaway","9"
4,"Bradford","Florida","Hampton","6"
4,"Bradford","Florida","Lawtey","28"
4,"Bradford","Florida","Brooker","5"
4,"Bradford","Florida","Starke","113"
4,"Bradford","Florida","Lake Butler","2"
5,"Brevard","Florida","Fellsmele","1"
5,"Brevard","Florida","Cocoa Beach","111"
5,"Brevard","Florida","Indian Harbour Beach","28"
5,"Brevard","Florida","Melbourne","1111"
5,"Brevard","Florida","Cocoa","433"
5,"Brevard","Florida","Cape Canaveral","49"
5,"Brevard","Florida","Palm Bay","748"
5,"Brevard","Florida","Merritt Island","261"
5,"Brevard","Florida","Port Saint John","3"
5,"Brevard","Florida","Malabar","22"
5,"Brevard","Florida","Attached","1"
5,"Brevard","Florida","Scottsmoor","1"
5,"Brevard","Florida","Grant-Valkaria","15"
5,"Brevard","Florida","Indialantic","63"
5,"Brevard","Florida","Barefoot Bay","9"
5,"Brevard","Florida","Sebastian","6"
5,"Brevard","Florida","Valkaria","2"
5,"Brevard","Florida","Sharpes","1"
5,"Brevard","Florida","Patrick Air Force Base","18"
5,"Brevard","Florida","West Melbourne","75"
5,"Brevard","Florida","Titusville","237"
5,"Brevard","Florida","Micco","3"
5,"Brevard","Florida","Orlando","1"
5,"Brevard","Florida","Mims","42"
5,"Brevard","Florida","Satellite Beach","98"
5,"Brevard","Florida","Palm Shores","3"
5,"Brevard","Florida","Rockledge","210"
5,"Brevard","Florida","Melbourne Beach","36"
5,"Brevard","Florida","Viera","31"
6,"Broward","Florida","At Large","3"
6,"Broward","Florida","Davie","1082"
6,"Broward","Florida","Plantation","831"
6,"Broward","Florida","West Hollywood","1"
6,"Broward","Florida","Lighthouse Point","11"
6,"Broward","Florida","Dania Beach","7"
6,"Broward","Florida","Pembroke Park","3"
6,"Broward","Florida","Pooler","1"
6,"Broward","Florida","Parkland","176"
6,"Broward","Florida","Deerfield Beach","1011"
6,"Broward","Florida","Weston","554"
6,"Broward","Florida","Hollywood","6820"
6,"Broward","Florida","Sunrise","1092"
6,"Broward","Florida","Alpharetta","1"
6,"Broward","Florida","Twentynine Palms","1"
6,"Broward","Florida","Oakland Park","547"
6,"Broward","Florida","Miramar","2052"
6,"Broward","Florida","Fort Lauderdale","7889"
6,"Broward","Florida","Wilton Manors","189"
6,"Broward","Florida","Hallandale","679"
6,"Broward","Florida","Hallandale Beach","23"
6,"Broward","Florida","Hillsboro Beach","1"
6,"Broward","Florida","Tamarac","852"
6,"Broward","Florida","Lauderdale Lakes","196"
6,"Broward","Florida","West Park","10"
6,"Broward","Florida","Cooper City","254"
6,"Broward","Florida","Lauderhill","212"
6,"Broward","Florida","City Of Sunrise","3"
6,"Broward","Florida","Coral Springs","1318"
6,"Broward","Florida","Margate","691"
6,"Broward","Florida","Lauderdale By The Sea","23"
6,"Broward","Florida","Coconut Creek","609"
6,"Broward","Florida","Pompano Beach","4055"
6,"Broward","Florida","Doral","1"
6,"Broward","Florida","Port Everglades","1"
6,"Broward","Florida","Southwest Ranches","69"
6,"Broward","Florida","Pembroke Pines","474"
6,"Broward","Florida","Laud-By-The-Sea","1"
6,"Broward","Florida","North Lauderdale","606"
6,"Broward","Florida","Dania","249"
6,"Broward","Florida","Hallandle Beach","2"
7,"Calhoun","Florida","Clarksville","8"
7,"Calhoun","Florida","Altha","42"
7,"Calhoun","Florida","Blountstown","109"
7,"Calhoun","Florida","Kinard","5"
7,"Calhoun","Florida","Wewahitchka","1"
8,"Charlotte","Florida","Placida","11"
8,"Charlotte","Florida","Port Charlotte","662"
8,"Charlotte","Florida","North Fort Myers","1"
8,"Charlotte","Florida","El Jobean","1"
8,"Charlotte","Florida","Punta Gorda","453"
8,"Charlotte","Florida","Cape Haze","1"
8,"Charlotte","Florida","Fort Charlotte","1"
8,"Charlotte","Florida","Rotunda West","51"
8,"Charlotte","Florida","Englewood","84"
9,"Citrus","Florida","Citrus Springs","22"
9,"Citrus","Florida","Homosassa","77"
9,"Citrus","Florida","Dunnellon","30"
9,"Citrus","Florida","Crystal River","110"
9,"Citrus","Florida","Holder","1"
9,"Citrus","Florida","Beverly Hills","50"
9,"Citrus","Florida","Homosassa Springs","2"
9,"Citrus","Florida","Lecanto","36"
9,"Citrus","Florida","Inverness","176"
9,"Citrus","Florida","Hernando","41"
9,"Citrus","Florida","Floral City","15"
10,"Clay","Florida","Penney Farms","3"
10,"Clay","Florida","Doctors Inlet","1"
10,"Clay","Florida","Jacksonville","1"
10,"Clay","Florida","Green Cove Springs","235"
